N,detuning,g,kappa,Gamma,omega,Lambda,scale,Tmax,intracavity_photon_number,spin_state,spin_command
4,-9.600000000000009,3.7,1.0,0.36,10.0,0.1,1.0,60.0,9.77650590573908e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-9.500000000000009,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001003354369808,y,"""qutip.tensor([u,d,u,d])"""
4,-10.100000000000009,3.7,1.0,0.36,10.0,0.1,1.0,60.0,6.462534033781671e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-11.7,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0008887252065084,y,"""qutip.tensor([u,d,u,d])"""
4,-11.8,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0007226703238756,y,"""qutip.tensor([u,d,u,d])"""
4,-12.0,3.7,1.0,0.36,10.0,0.1,1.0,6.0,0.0006064723190897,y,"""qutip.tensor([u,d,u,d])"""
4,-12.0,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0004890740577294,y,"""qutip.tensor([u,d,u,d])"""
4,-11.9,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0005900589553406,y,"""qutip.tensor([u,d,u,d])"""
4,-11.500000000000002,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0012340739648618,y,"""qutip.tensor([u,d,u,d])"""
4,-11.6,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0010723179243539,y,"""qutip.tensor([u,d,u,d])"""
4,-11.400000000000002,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0013291041030276,y,"""qutip.tensor([u,d,u,d])"""
4,-11.300000000000002,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.001284464479171,y,"""qutip.tensor([u,d,u,d])"""
4,-0.3333333333333333,3.7,1.0,0.36,10.0,0.1,1.0,6.0,0.0100211839443639,y,"""qutip.tensor([u,d,u,d])"""
4,-0.5555555555555556,3.7,1.0,0.36,10.0,0.1,1.0,6.0,0.0095629441350249,y,"""qutip.tensor([u,d,u,d])"""
4,-1.0,3.7,1.0,0.36,10.0,0.1,1.0,6.0,0.0081161248947169,y,"""qutip.tensor([u,d,u,d])"""
